"LAD23NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Middlesbrough",17,153539980.9037,1870815918,812,948379,0
"Midlothian",36,46785488.95714,152225663,1092,630160,7659999.848
"Milton Keynes",88,80530909.83005,350501974,1130,3935513,4049999.9820000003
"Mole Valley",34,11225988.07022,16393017,198,49499,6169999.8379999995
"Monmouthshire",21,3665425.28437,3299430,43,330188,270000.011
"Moray",17,6378509.05362,11033566,107,52485,0
"Na h-Eileanan Siar",15,4763304.40921,3143663,48,5000,0
"Neath Port Talbot",23,19743723.53063,40241959,221,138257,0
"New Forest",27,16714437.804119999,78926783,145,0,0
"Newark and Sherwood",55,408199814.03534997,718407833,3392,177000,0
"Newcastle upon Tyne",120,1307501948.02849,6302351523,9603,8181603,5890000.224
"Newcastle-under-Lyme",31,22438003.735859998,114059201,311,250000,0
"Newham",41,19191018.08917,52681969,333,0,0
"Newport",20,58380117.49369,140822524,822,454994,0
"Newry, Mourne and Down",39,41399671.05055,185177768,843,89995,0
"North Ayrshire",13,7542310.93714,9746517,93,0,0
"North Devon",39,28610521.501119997,63384453,301,253991,200000.003
"North East Derbyshire",46,61359507.77794,348221992,1179,0,0
"North East Lincolnshire",26,83710320.5142,79900284,717,71544,30000000
"North Hertfordshire",47,10839692.54537,39582154,112,0,0
"North Kesteven",25,11185115.39531,10674977,143,0,0
"North Lanarkshire",87,55094462.49587,275499131,649,4941182,13069999.815
"North Lincolnshire",41,31852535.97876,1284668227,341,0,0
"North Norfolk",17,4529183.77023,20112009,89,0,0
"North Northamptonshire",74,40093188.95081,100067202,836,0,0
"North Somerset",44,19558425.59446,79715470,344,29600,39999.999
"North Tyneside",42,312487494.57445997,1113594202,3749,328240,1229999.982
"North Warwickshire",27,5693175.58559,64384496,59,0,0
"North West Leicestershire",24,47970664.469000004,686689133,775,52857,0
"North Yorkshire",240,634065771.29716,13945230526,3881,2055519,23800000.411
"Northumberland",88,109842845.07997,1628797653,1619,388596671,730000.019
"Norwich",36,31203894.886520002,31007775,341,506680,0
"Nottingham",56,60726948.37493,401878063,537,4244461,65609998.108
"Nuneaton and Bedworth",8,1600800.62882,5850096,31,0,0
"Oadby and Wigston",7,2683168.87477,4818387,35,0,0
"Oldham",39,7051160.42109,10760809,109,112829,0
